scaffold_name	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	stitle	staxids	sscinames	sphylums	skingdoms	sskingdoms
scaffold_157_c1	scaffold_157_c1_37	WP_052435519_1	34.1	651	357	16	184	794	1	619	2.53e-97	327	810	637	WP_052435519_1 phage/plasmid primase, P4 family [Bradyrhizobium japonicum]	375	Bradyrhizobium japonicum	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_1	WP_150427999_1	98.4	672	11	0	1	672	230	901	0.0	1165	673	901	WP_150427999_1 MULTISPECIES: phage tail protein [Betaproteobacteria] >KAB0601437.1 phage tail protein [Cupriavidus pauculus] >UAL01257.1 phage tail protein [Cupriavidus pauculus]	28216	Betaproteobacteria	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_2	MBK8919873_1	97.4	352	9	0	1	352	1	352	1.32e-247	684	353	352	MBK8919873_1 hypothetical protein [Betaproteobacteria bacterium]	1891241	Betaproteobacteria bacterium	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_3	WP_066613695_1	87.0	523	68	0	1	523	1	523	0.0	933	524	523	WP_066613695_1 hypothetical protein [Crenobacter luteus] >KZE29574.1 hypothetical protein AVW16_01230 [Crenobacter luteus]	1452487	Crenobacter luteus	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_4	WP_024958039_1	97.7	262	6	0	1	262	1	262	1.84e-186	521	263	262	WP_024958039_1 MULTISPECIES: DUF2163 domain-containing protein [Stenotrophomonas] >AIL05954.1 hypothetical protein DP16_401 [Stenotrophomonas maltophilia] >OMP41059.1 phage tail protein [Stenotrophomonas sp. KAs 5-3] >OOD15971.1 phage tail protein [Stenotrophomonas maltophilia] >QQA81350.1 phage BR0599 family protein [Stenotrophomonas maltophilia] >SNW11938.1 phage tail assembly protein [Stenotrophomonas maltophilia]	40323	Stenotrophomonas	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_5	WP_009521704_1	98.7	75	1	0	1	75	1	75	1.38e-32	117	76	75	WP_009521704_1 MULTISPECIES: hypothetical protein [Proteobacteria] >MAB41830.1 hypothetical protein [Pseudomonadales bacterium] >MBK8919876.1 hypothetical protein [Betaproteobacteria bacterium] >MBN8501425.1 hypothetical protein [Sphingomonadales bacterium] >TCW31549.1 hypothetical protein EV669_105252 [Gulbenkiania mobilis] >TMS57560.1 hypothetical protein MW7_011750 [Burkholderiaceae bacterium PBA]	1224	Proteobacteria	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_6	WP_020200527_1	97.2	71	2	0	1	71	1	71	6.23e-43	143	72	71	WP_020200527_1 MULTISPECIES: hypothetical protein [Betaproteobacteria] >MBB5018951.1 cell wall assembly regulator SMI1 [Chitinivorax tropicus]	28216	Betaproteobacteria	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_7	MBK8919878_1	96.4	757	27	0	1	757	1	757	0.0	1456	758	757	MBK8919878_1 phage tail protein [Betaproteobacteria bacterium]	1891241	Betaproteobacteria bacterium	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_8	WP_073656061_1	97.5	202	5	0	1	202	1	202	3.34e-141	402	203	202	WP_073656061_1 hypothetical protein [Pseudomonas aeruginosa]	287	Pseudomonas aeruginosa	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_9	WP_164081899_1	95.7	116	5	0	1	116	1	116	1.92e-78	236	117	116	WP_164081899_1 DUF2793 domain-containing protein [Stenotrophomonas maltophilia]	40324	Stenotrophomonas maltophilia	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_10	WP_020200523_1	100	101	0	0	1	101	1	101	7.79e-62	193	102	101	WP_020200523_1 MULTISPECIES: DUF6127 family protein [Proteobacteria] >MBK8919881.1 hypothetical protein [Betaproteobacteria bacterium] >MBS4038042.1 hypothetical protein [Hydrogenophaga sp.] >MBY0340656.1 hypothetical protein [Rhodocyclaceae bacterium] >AIL09715.1 putative transmembrane protein [Stenotrophomonas maltophilia] >AJP47357.1 membrane protein [Rugosibacter aromaticivorans]	1224	Proteobacteria	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_11	WP_020200522_1	99.4	158	1	0	1	158	1	158	1.02e-109	319	159	158	WP_020200522_1 MULTISPECIES: hypothetical protein [Proteobacteria] >MBB5018956.1 hypothetical protein [Chitinivorax tropicus] >MBE7527438.1 hypothetical protein [Burkholderiales bacterium]	1224	Proteobacteria	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_12	WP_004869971_1	94.3	157	9	0	1	157	1	157	1.95e-105	308	158	160	WP_004869971_1 lysozyme [Acidithiobacillus caldus] >AIA54040.1 hypothetical protein Acaty_c0148 [Acidithiobacillus caldus ATCC 51756] >MBU2729859.1 lysozyme [Acidithiobacillus caldus] >MBU2736782.1 lysozyme [Acidithiobacillus caldus ATCC 51756] >MBU2745887.1 lysozyme [Acidithiobacillus caldus] >MBU2780727.1 lysozyme [Acidithiobacillus caldus]	33059	Acidithiobacillus caldus	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_13	MBU2745888_1	100	71	0	0	1	71	1	71	3.61e-42	141	72	71	MBU2745888_1 hypothetical protein [Acidithiobacillus caldus]	33059	Acidithiobacillus caldus	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_14	WP_226824404_1	99.5	409	2	0	1	409	21	429	8.18e-294	806	410	429	WP_226824404_1 DNA cytosine methyltransferase [Acidithiobacillus caldus]	33059	Acidithiobacillus caldus	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_15	WP_004869975_1	99.7	660	2	0	1	660	1	660	0.0	1317	661	660	WP_004869975_1 MULTISPECIES: AAA family ATPase [Proteobacteria] >AFU62911.1 5-methylcytosine specific restriction system component McrB [Acidithiobacillus phage AcaML1] >AIA54042.1 McrBC restriction endonuclease system, McrB subunit, putative [Acidithiobacillus caldus ATCC 51756] >MBU2745890.1 AAA domain-containing protein [Acidithiobacillus caldus]	1224	Proteobacteria	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_16	WP_004869977_1	98.9	441	5	0	1	441	1	441	1.78e-313	858	442	441	WP_004869977_1 hypothetical protein [Acidithiobacillus caldus] >AFU62912.1 5-methylcytosine specific restriction system component McrC [Acidithiobacillus phage AcaML1] >AIA54043.1 McrBC 5-methylcytosine restriction system component [Acidithiobacillus caldus ATCC 51756] >MBU2729198.1 hypothetical protein [Acidithiobacillus caldus] >MBU2736785.1 hypothetical protein [Acidithiobacillus caldus ATCC 51756] >MBU2745891.1 hypothetical protein [Acidithiobacillus caldus]	33059	Acidithiobacillus caldus	Proteobacteria	0	Bacteria
scaffold_691_c1	scaffold_691_c1_18	KIN90364_1	91.1	516	46	0	1	516	1	516	0.0	971	517	516	KIN90364_1 transposase DDE domain protein [Thauera sp. SWB20]	1572758	Thauera sp. SWB20	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_1	WP_215891186_1	74.5	247	63	0	1	247	1	247	6.12e-134	389	247	297	WP_215891186_1 DNA adenine methylase [Acidithiobacillus thiooxidans] >MBU2834212.1 DNA adenine methylase [Acidithiobacillus thiooxidans]	930	Acidithiobacillus thiooxidans	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_2	WP_215892067_1	33.9	528	289	15	133	612	96	611	2.01e-53	204	624	617	WP_215892067_1 hypothetical protein [Acidithiobacillus ferriphilus] >MBU2831889.1 hypothetical protein [Acidithiobacillus ferriphilus]	1689834	Acidithiobacillus ferriphilus	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_3	WP_054608672_1	57.1	70	28	2	1	69	66	134	8.52e-19	85.1	83	136	WP_054608672_1 hypothetical protein [Acidithiobacillus ferrooxidans] >MBU2815886.1 hypothetical protein [Acidithiobacillus ferrooxidans] >PZD82406.1 hypothetical protein DN052_05155 [Acidithiobacillus ferrooxidans] >QLK41320.1 hypothetical protein FE661_03410 [Acidithiobacillus ferrooxidans] >QZT53262.1 hypothetical protein K7B00_03410 [Acidithiobacillus ferrooxidans] >BDB13358.1 hypothetical protein ANFP_06780 [Acidithiobacillus ferrooxidans]	920	Acidithiobacillus ferrooxidans	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_4	WP_163058152_1	60.0	80	30	1	7	86	3	80	4.22e-24	97.4	93	84	WP_163058152_1 hypothetical protein [Acidithiobacillus ferrooxidans]	920	Acidithiobacillus ferrooxidans	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_5	CDQ12131_1	67.1	170	52	2	9	174	18	187	3.45e-56	185	175	187	CDQ12131_1 conserved hypothetical protein [Acidithiobacillus ferrivorans] >SMH64741.1 conserved protein of unknown function [Acidithiobacillus ferrivorans]	160808	Acidithiobacillus ferrivorans	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_6	WP_054608670_1	52.3	65	28	3	3	67	1	62	1.56e-11	64.3	73	68	WP_054608670_1 hypothetical protein [Acidithiobacillus ferrooxidans] >MBU2816077.1 hypothetical protein [Acidithiobacillus ferrooxidans] >PZD82408.1 hypothetical protein DN052_05165 [Acidithiobacillus ferrooxidans] >QLK41318.1 hypothetical protein FE661_03400 [Acidithiobacillus ferrooxidans] >QZT53260.1 hypothetical protein K7B00_03400 [Acidithiobacillus ferrooxidans] >BDB13356.1 hypothetical protein ANFP_06760 [Acidithiobacillus ferrooxidans]	920	Acidithiobacillus ferrooxidans	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_7	WP_054608671_1	46.4	97	44	4	1	95	1	91	2.03e-17	81.6	113	95	WP_054608671_1 hypothetical protein [Acidithiobacillus ferrooxidans] >PZD82407.1 hypothetical protein DN052_05160 [Acidithiobacillus ferrooxidans] >QLK41319.1 hypothetical protein FE661_03405 [Acidithiobacillus ferrooxidans] >QZT53261.1 hypothetical protein K7B00_03405 [Acidithiobacillus ferrooxidans] >BDB13357.1 hypothetical protein ANFP_06770 [Acidithiobacillus ferrooxidans]	920	Acidithiobacillus ferrooxidans	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_8	MBU2861504_1	56.2	820	340	11	109	919	41	850	3.44e-297	853	920	850	MBU2861504_1 hypothetical protein [Acidithiobacillus ferrooxidans]	920	Acidithiobacillus ferrooxidans	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_9	WP_031576121_1	56.2	886	364	7	1	872	1	876	0.0	972	873	876	WP_031576121_1 MULTISPECIES: DUF3854 domain-containing protein [Acidithiobacillus] >MBU2742890.1 DUF3854 domain-containing protein [Acidithiobacillus albertensis] >MBU2835881.1 DUF3854 domain-containing protein [Acidithiobacillus thiooxidans] >MBU2842360.1 DUF3854 domain-containing protein [Acidithiobacillus thiooxidans]	119977	Acidithiobacillus	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_11	WP_215892077_1	48.4	182	91	3	43	222	42	222	4.68e-46	162	223	222	WP_215892077_1 hypothetical protein [Acidithiobacillus ferriphilus] >MBU2831898.1 hypothetical protein [Acidithiobacillus ferriphilus]	1689834	Acidithiobacillus ferriphilus	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_12	EGQ63750_1	65.7	137	47	0	13	149	42	178	3.16e-53	182	152	358	EGQ63750_1 hypothetical protein GGI1_21369 [Acidithiobacillus sp. GGI-221]	872330	Acidithiobacillus sp. GGI-221	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_13	WP_054608663_1	49.7	151	59	3	1	139	1	146	3.85e-38	137	143	146	WP_054608663_1 hypothetical protein [Acidithiobacillus ferrooxidans] >MBU2816090.1 hypothetical protein [Acidithiobacillus ferrooxidans] >PZD82415.1 hypothetical protein DN052_05200 [Acidithiobacillus ferrooxidans] >QLK41311.1 hypothetical protein FE661_03365 [Acidithiobacillus ferrooxidans] >QZT53253.1 hypothetical protein K7B00_03365 [Acidithiobacillus ferrooxidans] >BDB13349.1 hypothetical protein ANFP_06690 [Acidithiobacillus ferrooxidans]	920	Acidithiobacillus ferrooxidans	Proteobacteria	0	Bacteria
scaffold_995_c1	scaffold_995_c1_14	WP_215891256_1	45.7	127	69	0	5	131	5	131	6.96e-24	105	131	375	WP_215891256_1 hypothetical protein [Acidithiobacillus thiooxidans] >MBU2834714.1 hypothetical protein [Acidithiobacillus thiooxidans]	930	Acidithiobacillus thiooxidans	Proteobacteria	0	Bacteria
scaffold_1165_c1	scaffold_1165_c1_1	WP_208456712_1	100	26	0	0	1	26	3	28	5.91e-11	61.2	26	89	WP_208456712_1 hypothetical protein [Burkholderia vietnamiensis]	60552	Burkholderia vietnamiensis	Proteobacteria	0	Bacteria
scaffold_1165_c1	scaffold_1165_c1_2	WP_039731035_1	92.1	920	73	0	1	920	1	920	0.0	1635	922	921	WP_039731035_1 DEAD/DEAH box helicase family protein [Xanthomonas citri] >KIF11354.1 type III restriction enzyme, res subunit [Xanthomonas citri pv. fuscans]	346	Xanthomonas citri	Proteobacteria	0	Bacteria
scaffold_1165_c1	scaffold_1165_c1_3	WP_234498723_1	89.1	570	62	0	1	570	1	570	0.0	1069	571	570	WP_234498723_1 site-specific DNA-methyltransferase [Ralstonia solanacearum] >MCF1444138.1 site-specific DNA-methyltransferase [Ralstonia solanacearum]	305	Ralstonia solanacearum	Proteobacteria	0	Bacteria
scaffold_1165_c1	scaffold_1165_c1_4	WP_082668454_1	87.3	764	91	3	1	763	1	759	0.0	1328	783	782	WP_082668454_1 S8 family peptidase [Tepidimonas taiwanensis]	307486	Tepidimonas taiwanensis	Proteobacteria	0	Bacteria
scaffold_1165_c1	scaffold_1165_c1_5	WP_225487112_1	92.7	328	24	0	1	328	1	328	2.60e-210	587	329	328	WP_225487112_1 ATP-binding protein [Acidithiobacillus ferrooxidans] >UBU61455.1 ATP-binding protein [Acidithiobacillus ferrooxidans]	920	Acidithiobacillus ferrooxidans	Proteobacteria	0	Bacteria
scaffold_1165_c1	scaffold_1165_c1_6	WP_080960988_1	96.6	963	33	0	1	963	1	963	0.0	1784	965	964	WP_080960988_1 SNF2-related protein [Xanthomonas citri]	346	Xanthomonas citri	Proteobacteria	0	Bacteria
scaffold_1165_c1	scaffold_1165_c1_7	WP_039731039_1	97.0	67	2	0	1	67	1	67	3.09e-39	134	68	67	WP_039731039_1 helix-turn-helix domain-containing protein [Xanthomonas citri] >KIF11357.1 hypothetical protein SP73_02675 [Xanthomonas citri pv. fuscans]	346	Xanthomonas citri	Proteobacteria	0	Bacteria
scaffold_1165_c1	scaffold_1165_c1_9	WP_043700522_1	79.4	165	33	1	1	165	1	164	5.44e-75	242	226	397	WP_043700522_1 IS256 family transposase [Tepidimonas taiwanensis]	307486	Tepidimonas taiwanensis	Proteobacteria	0	Bacteria
scaffold_1165_c1	scaffold_1165_c1_10	WP_162751019_1	95.1	41	2	0	1	41	49	89	5.17e-17	78.6	54	111	WP_162751019_1 serine protease, partial [Shigella flexneri]	623	Shigella flexneri	Proteobacteria	0	Bacteria
scaffold_1240_c1	scaffold_1240_c1_1	MBW9248891_1	44.2	215	96	7	1	213	1	193	4.87e-42	151	214	193	MBW9248891_1 hypothetical protein [Acidithiobacillus ferriphilus] >MBW9254888.1 hypothetical protein [Acidithiobacillus ferriphilus]	1689834	Acidithiobacillus ferriphilus	Proteobacteria	0	Bacteria
scaffold_1240_c1	scaffold_1240_c1_3	WP_215875010_1	59.7	1172	454	8	1	1162	1	1164	0.0	1366	1292	1250	WP_215875010_1 PriCT-2 domain-containing protein [Acidithiobacillus ferrooxidans] >MBU2857296.1 hypothetical protein [Acidithiobacillus ferrooxidans]	920	Acidithiobacillus ferrooxidans	Proteobacteria	0	Bacteria
scaffold_1240_c1	scaffold_1240_c1_5	WP_193640891_1	36.5	252	132	4	10	236	7	255	2.63e-47	168	251	258	WP_193640891_1 hypothetical protein [Acidithiobacillus sp. HP-11] >MBE7567811.1 hypothetical protein [Acidithiobacillus sp. HP-11]	2697656	Acidithiobacillus sp. HP-11	Proteobacteria	0	Bacteria
scaffold_1240_c1	scaffold_1240_c1_6	MBW9248897_1	43.0	244	119	5	29	267	23	251	3.77e-37	142	268	251	MBW9248897_1 hypothetical protein [Acidithiobacillus ferriphilus] >MBW9254882.1 hypothetical protein [Acidithiobacillus ferriphilus]	1689834	Acidithiobacillus ferriphilus	Proteobacteria	0	Bacteria
scaffold_1240_c1	scaffold_1240_c1_7	WP_035192566_1	79.7	236	48	0	1	236	1	236	2.14e-132	383	238	239	WP_035192566_1 hypothetical protein [Acidithiobacillus ferrivorans] >CDQ10205.1 putative Mobilization protein, MobD [Acidithiobacillus ferrivorans] >SMH64166.1 putative Mobilization protein, MobD [Acidithiobacillus ferrivorans]	160808	Acidithiobacillus ferrivorans	Proteobacteria	0	Bacteria
scaffold_1240_c1	scaffold_1240_c1_8	WP_163055333_1	54.0	100	43	1	3	102	5	101	4.22e-22	95.1	123	134	WP_163055333_1 hypothetical protein [Acidithiobacillus ferrooxidans]	920	Acidithiobacillus ferrooxidans	Proteobacteria	0	Bacteria
scaffold_1240_c1	scaffold_1240_c1_11	WP_226859759_1	58.1	93	38	1	4	96	15	106	2.92e-27	106	97	106	WP_226859759_1 hypothetical protein [Acidithiobacillus ferriphilus]	1689834	Acidithiobacillus ferriphilus	Proteobacteria	0	Bacteria
scaffold_1481_c1	scaffold_1481_c1_1	MBG4644481_1	100	55	0	0	1	55	133	187	1.48e-31	117	56	187	MBG4644481_1 DUF3489 domain-containing protein [Pseudomonas aeruginosa] >MBG5729592.1 DUF3489 domain-containing protein [Pseudomonas aeruginosa]	287	Pseudomonas aeruginosa	Proteobacteria	0	Bacteria
scaffold_1481_c1	scaffold_1481_c1_2	WP_012080611_1	95.8	119	5	0	1	119	1	119	3.41e-78	236	120	119	WP_012080611_1 hypothetical protein [Janthinobacterium sp. Marseille] >ABR90882.1 Uncharacterized conserved protein [Janthinobacterium sp. Marseille]	375286	Janthinobacterium sp. Marseille	Proteobacteria	0	Bacteria
scaffold_1481_c1	scaffold_1481_c1_3	WP_227459962_1	94.2	120	7	0	1	120	1	120	3.96e-82	246	121	120	WP_227459962_1 hypothetical protein [Cupriavidus pauculus]	82633	Cupriavidus pauculus	Proteobacteria	0	Bacteria
scaffold_1481_c1	scaffold_1481_c1_4	WP_023113933_1	100	74	0	0	1	74	1	74	4.80e-46	151	75	74	WP_023113933_1 MULTISPECIES: hypothetical protein [Proteobacteria] >ERW23861.1 hypothetical protein Q036_01912 [Pseudomonas aeruginosa BWHPSA023] >MBG4006218.1 hypothetical protein [Pseudomonas aeruginosa]	1224	Proteobacteria	Proteobacteria	0	Bacteria
scaffold_1481_c1	scaffold_1481_c1_5	WP_012080608_1	99.0	411	4	0	1	411	1	411	2.26e-303	830	412	411	WP_012080608_1 site-specific DNA-methyltransferase [Janthinobacterium sp. Marseille] >ABR90469.1 DNA modification methylase [Janthinobacterium sp. Marseille]	375286	Janthinobacterium sp. Marseille	Proteobacteria	0	Bacteria
scaffold_1481_c1	scaffold_1481_c1_6	WP_073656040_1	98.5	474	7	0	1	474	1	474	0.0	949	475	474	WP_073656040_1 site-specific DNA-methyltransferase [Pseudomonas aeruginosa]	287	Pseudomonas aeruginosa	Proteobacteria	0	Bacteria
scaffold_1481_c1	scaffold_1481_c1_7	MBG4836048_1	97.8	137	3	0	1	137	1	137	6.46e-96	282	138	137	MBG4836048_1 helix-turn-helix domain-containing protein [Pseudomonas aeruginosa] >MBI7334294.1 hypothetical protein [Pseudomonas aeruginosa]	287	Pseudomonas aeruginosa	Proteobacteria	0	Bacteria
